 MACD, MACD-C3,MA5, TS-9, TS-6,Corp 3,Corp2,MA10,Target,CLOSE,Date
1.11,2.11,5.2,0,0,-1,0,3.4,0,337,300
0.95,1.95,3.9,1,1,-1,1,2.2,0,339,299
0.28,1.28,2.6,1,1,-1,1,0.8,1,331.5,298
0.1,-0.9,1.3,1,1,1,0,0.65,1,319,297
0.37,-0.63,1.7,0,0,1,0,0.9,1,313.5,296
0.36,1.36,1.6,1,0,-1,0,0.4,0,316,295
0.35,1.35,0.5,0,0,-1,0,0.1,0,313,294
-0.09,-1.09,-1,1,1,1,-1,-0.75,0,312,293
-0.08,-1.08,0,0,0,1,0,-0.8,1,306,292
-0.06,-0.06,0.1,0,0,0,1,-0.35,0,307,291
-0.25,-1.25,-0.8,0,0,1,1,-0.2,0,307.5,290
0,0,-0.3,-1,-1,0,1,0.6,0,305,289
0.03,-0.97,-0.5,0,0,1,0,0.7,-1,309.5,288
-0.16,-1.16,-1.6,1,0,1,0,0.2,0,311,287
-0.25,0.75,-0.8,0,0,-1,0,0.6,1,307,286
-0.2,-1.2,0.4,0,0,1,-1,0.35,0,307,285
-0.17,-1.17,1.5,0,0,1,1,0.2,0,309,284
0.14,-0.86,1.9,0,0,1,1,0.25,0,311,283
0.39,1.39,2,0,0,-1,0,0.45,0,313.5,282
0.24,1.24,2,1,0,-1,1,0.4,0,315,281
0.06,1.06,0.3,1,0,-1,1,0.8,1,311,280
-0.18,0.82,-1.1,1,0,-1,0,0.5,1,307,279
-0.26,-0.26,-1.4,0,0,0,0,0.45,1,303.5,278
-0.26,-0.26,-1.1,0,0,0,1,0.65,0,304,277
-0.57,-1.57,-1.2,1,0,1,-1,0.65,0,305,276
-0.32,-1.32,1.3,-1,-1,1,1,1.2,1,301,275
-0.1,-0.1,2.1,-1,0,0,1,1.6,-1,305.5,274
0.19,-0.81,2.3,0,0,1,1,1.8,-1,309,273
0.38,-0.62,2.4,0,0,1,1,1.65,0,311,272
0.34,-0.66,2.5,1,1,1,0,1.7,0,310.5,271
-0.12,-0.12,1.1,1,1,0,1,0.6,1,307,270
-0.01,0.99,1.1,0,0,-1,0,0.5,1,299,269
0.03,1.03,1.3,0,0,-1,0,0.3,0,298.5,268
0.08,1.08,0.9,0,0,-1,-1,0.5,0,299.5,267
-0.12,-0.12,0.9,1,1,0,-1,0.45,0,298.5,266
-0.19,-0.19,0.1,0,0,0,-1,1.15,1,294.5,265
-0.26,-0.26,-0.1,0,0,0,-1,0.65,0,293.5,264
-0.31,0.69,-0.7,0,0,-1,0,1.5,0,293,263
-0.24,-0.24,0.1,0,0,0,0,1.75,0,293,262
-0.55,-1.55,0,1,1,1,0,1.35,0,294,261
-0.31,0.69,2.2,-1,0,-1,-1,1.35,1,290,260
-0.21,-1.21,1.4,0,0,1,0,1.35,-1,293,259
0.19,1.19,3.7,-1,0,-1,-1,2.45,0,293.5,258
0.29,-0.71,3.4,1,0,1,0,2.55,-1,296.5,257
0.3,-0.7,2.7,1,1,1,1,2.4,1,293.5,256
-0.07,0.93,0.5,1,1,-1,1,1.7,1,290,255
0.32,1.32,1.3,-1,-1,-1,0,2.25,1,282,254
-0.08,0.92,1.2,1,1,-1,1,1.4,-1,286.5,253
-0.11,-1.11,1.7,0,0,1,1,1.15,1,278,252
-0.11,-1.11,2.1,0,0,1,1,0.95,0,276.5,251
0.35,1.35,2.9,-1,0,-1,1,1.45,0,276.5,250
0.55,1.55,3.2,0,0,-1,1,1.45,-1,279.5,249
0.28,0.28,1.6,1,1,0,1,0.95,0,280,248
0.12,1.12,0.6,1,1,-1,1,0.5,1,272,247
-0.09,0.91,-0.2,0,0,-1,1,0.45,1,268,246
-0.15,0.85,0,0,0,-1,0,0,0,266,245
-0.24,-0.24,-0.3,0,0,0,-1,0.05,0,265,244
-0.22,-1.22,0.3,0,0,1,1,0.1,0,264,243
-0.16,0.84,0.4,0,0,-1,1,0.75,0,264,242
0.06,1.06,1.1,0,0,-1,-1,1.3,0,265,241
-0.05,-0.05,0,0,0,0,0,0.75,0,267,240
-0.04,-0.04,0.4,0,0,0,0,0.65,0,265,239
-0.14,-1.14,-0.1,1,0,1,1,0.85,0,265.5,238
-0.12,0.88,1.1,0,0,-1,1,1.1,1,262.5,237
-0.16,-1.16,1.5,0,0,1,-1,1.15,0,263,236
0.17,1.17,1.5,-1,-1,-1,1,1.65,0,261.5,235
0.26,1.26,0.9,0,0,-1,1,0.95,-1,265,234
0.37,1.37,1.8,0,0,-1,1,0.9,0,263.5,233
0.05,-0.95,1.1,1,1,1,1,0.3,0,263,232
-0.08,-1.08,0.8,1,0,1,1,-0.05,1,257.5,231
0.18,-0.82,1.8,-1,-1,1,0,0.55,1,254,230
0.41,-0.59,1,0,0,1,0,0.9,-1,257.5,229
0.15,0.15,0,1,1,0,0,0.6,0,259,228
0.08,1.08,-0.5,0,0,-1,1,0.25,1,254,227
-0.11,0.89,-0.9,0,0,-1,1,0.35,0,252,226
-0.27,-0.27,-0.7,0,0,0,1,-0.25,0,250,225
0.07,-0.93,0.8,-1,-1,1,1,0.05,0,248.5,224
0.23,1.23,1.2,0,0,-1,1,0.6,-1,254,223
0.27,1.27,1,0,0,-1,0,0.6,0,254,222
0.38,1.38,1.6,0,0,-1,0,0.8,0,254.5,221
0.32,0.32,0.2,1,0,0,1,0.05,0,254.5,220
0.23,0.23,-0.7,0,0,0,0,-0.65,0,252,219
0.01,1.01,0,0,0,-1,-1,-1.15,0,250,218
0.23,0.23,0.2,0,0,0,1,-1.05,0,248,217
-0.09,-1.09,0,1,0,1,0,-1.45,0,249.5,216
0.23,1.23,-0.1,-1,-1,-1,-1,-1,1,246.5,215
0.28,1.28,-0.6,-1,0,-1,1,-1.15,-1,251,214
-0.08,0.92,-2.3,1,1,-1,-1,-1.7,0,253.5,213
-0.41,-1.41,-2.3,0,0,1,1,-1.55,1,248,212
-0.64,-1.64,-2.9,0,0,1,-1,-1.75,0,248.5,211
-0.61,-1.61,-1.9,-1,-1,1,-1,-0.75,0,246.5,210
-0.46,-1.46,-1.7,-1,-1,1,1,0.25,-1,251.5,209
-0.39,0.61,-1.1,-1,0,-1,0,0.75,-1,256.5,208
-0.34,0.66,-0.8,0,0,-1,1,0.4,-1,259.5,207
-0.4,-0.4,-0.6,0,0,0,0,0.65,0,260,206
-0.41,-0.41,0.4,0,0,0,0,1.05,0,261,205
-0.18,-0.18,2.2,-1,-1,0,-1,1.5,0,261,204
-0.01,0.99,2.6,0,0,-1,0,1.8,-1,265,203
0.13,1.13,1.6,0,0,-1,0,2.2,0,265,202
0.32,1.32,1.9,0,0,-1,1,2.15,0,264,201
0.24,1.24,1.7,1,1,-1,1,1.6,0,264,200
-0.1,-1.1,0.8,1,1,1,0,1,1,259,199
-0.15,-1.15,1,0,0,1,0,0.95,1,254,198
0.22,1.22,2.8,-1,-1,-1,1,0.7,0,252,197
0.24,1.24,2.4,0,0,-1,0,0.6,-1,256,196
0.2,1.2,1.5,1,1,-1,0,1.15,0,254.5,195
0.27,1.27,1.2,0,0,-1,1,0.95,1,250.5,194
0.13,-0.87,0.9,1,1,1,1,1.25,0,250,193
-0.19,-0.19,-1.4,1,1,0,1,0.35,1,247,192
-0.2,-1.2,-1.2,0,0,1,0,0.15,1,242,191
-0.18,-1.18,0.8,0,0,1,0,-0.55,0,242.5,190
-0.14,-1.14,0.7,0,0,1,1,-0.1,0,243,189
-0.23,-0.23,1.6,0,0,0,0,-0.15,0,244,188
0.32,-0.68,2.1,-1,-1,1,1,1.35,0,242.5,187
0.51,1.51,1.5,0,0,-1,1,1.55,-1,249,186
-0.06,-0.06,-1.9,1,1,0,1,0.3,0,248.5,185
-0.05,-0.05,-0.9,0,0,0,1,0.05,1,239,184
-0.53,-1.53,-1.9,1,1,1,1,-1.15,0,240.5,183
-0.37,0.63,0.6,-1,-1,-1,0,-0.6,1,234.5,182
-0.28,0.72,1.6,-1,0,-1,0,0.1,-1,238.5,181
0.37,-0.63,2.5,-1,-1,1,0,1.65,-1,241,180
0.27,-0.73,1,1,1,1,1,1,-1,248.5,179
0.4,-0.6,-0.4,0,0,1,1,1.1,1,245,178
-0.21,-0.21,-1.8,1,1,0,1,-0.25,0,244,177
-0.5,-1.5,-1.4,1,0,1,-1,-0.25,1,235.5,176
-0.34,-1.34,0.8,-1,-1,1,-1,0.5,1,233,175
-0.02,-1.02,1,-1,-1,1,0,1.05,-1,236,174
0.52,0.52,2.6,-1,-1,0,-1,1.55,-1,240,173
0.64,1.64,1.3,0,0,-1,1,1.35,-1,246,172
0.5,0.5,0.9,1,1,0,0,0.7,0,244.5,171
0,1,0.2,1,1,-1,-1,0.2,1,240,170
0.34,-0.66,1.1,-1,0,1,-1,-0.3,1,232,169
0.32,-0.68,0.5,0,0,1,0,-0.1,-1,235,168
0.64,0.64,1.4,-1,-1,0,1,0,0,233,167
0.65,1.65,0.5,1,0,-1,1,-0.6,-1,238,166
0.4,0.4,0.2,1,1,0,-1,-1.6,1,235.5,165
0.22,0.22,-1.7,0,0,0,-1,-1.95,1,231,164
0.26,0.26,-0.7,0,0,0,0,-1.8,0,229.5,163
0.27,0.27,-1.4,0,0,0,-1,-1.95,0,230.5,162
0.18,1.18,-1.7,0,0,-1,0,-2.3,0,231,161
-0.15,-1.15,-3.4,1,0,1,0,-2.65,0,233,160
0.2,1.2,-2.2,-1,-1,-1,0,-2.2,1,230,159
-0.34,-1.34,-2.9,1,1,1,0,-2.85,-1,238,158
-0.26,-1.26,-2.5,-1,-1,1,0,-2.1,1,234,157
-0.19,-1.19,-2.9,-1,-1,1,0,-2.35,-1,238,156
-0.08,-0.08,-1.9,-1,-1,0,0,-1.2,-1,241.5,155
-0.03,-1.03,-2.2,0,0,1,0,-1,-1,247,154
-0.36,-1.36,-2.8,0,0,1,0,-1.1,0,249,153
-0.39,-1.39,-1.7,0,0,1,1,-0.95,0,248.5,152
-0.15,-1.15,-1.8,-1,-1,1,-1,-1.15,0,250.5,151
-0.22,-1.22,-0.5,0,0,1,0,-1.25,-1,256,150
-0.07,-1.07,0.2,-1,-1,1,0,-0.8,0,256.5,149
0.03,-0.97,0.6,-1,0,1,1,-0.35,-1,260,148
-0.25,-1.25,-0.2,1,0,1,0,-0.55,0,262.5,147
0.11,0.11,-0.5,-1,-1,0,0,0.05,1,259,146
-0.25,0.75,-2,1,1,-1,0,-0.25,-1,265,145
-0.43,-1.43,-1.8,0,0,1,0,0.2,1,259,144
-0.55,-1.55,-1.3,0,0,1,0,0.4,0,259,143
-0.73,-1.73,-0.9,0,0,1,0,0.8,0,259.5,142
-0.22,0.78,0.6,-1,-1,-1,-1,1.55,0,260,141
-0.04,0.96,1.5,0,0,-1,0,1.5,-1,267.5,140
-0.03,-0.03,2.2,0,0,0,0,1.4,0,269,139
0.01,1.01,2.1,0,0,-1,-1,1.3,0,268,138
0.13,1.13,2.5,0,0,-1,0,1.8,0,266,137
0.28,1.28,2.5,0,0,-1,0,1.85,0,264.5,136
0.26,-0.74,1.5,1,1,1,-1,1.6,0,264.5,135
0.04,-0.96,0.6,1,1,1,-1,1.15,1,261.5,134
0.04,1.04,0.5,0,0,-1,0,1.35,1,257,133
-0.18,-0.18,1.1,1,1,0,0,1.05,0,255.5,132
-0.12,-1.12,1.2,0,0,1,0,0.8,1,252,131
0.06,-0.94,1.7,0,0,1,0,1.25,0,252,130
0.2,0.2,1.7,0,0,0,0,0.55,0,254,129
0.29,0.29,2.2,0,0,0,1,0.75,0,254,128
0.01,0.01,1,1,1,0,0,0.45,0,253,127
0.05,-0.95,0.4,0,0,1,0,0.55,1,246.5,126
0.14,-0.86,0.8,0,0,1,1,0.45,0,246,125
0.02,1.02,-0.6,0,0,-1,-1,0.65,0,245.5,124
-0.18,-0.18,-0.7,1,1,0,0,0.75,0,245.5,123
-0.25,-1.25,-0.1,0,0,1,1,0.45,1,242,122
-0.13,-0.13,0.7,-1,0,0,0,0.85,0,241.5,121
-0.26,0.74,0.1,1,0,-1,-1,1.1,-1,244,120
0.29,1.29,1.9,-1,-1,-1,1,1.85,1,241.5,119
0.22,0.22,2.2,1,1,0,0,1.15,-1,248.5,118
0.12,-0.88,1,1,1,1,0,0.8,1,245.5,117
0.1,-0.9,1,0,0,1,0,0.75,1,242,116
0.26,-0.74,2.1,0,0,1,0,0.55,0,240.5,115
0.21,1.21,1.8,0,0,-1,-1,0,0,241,114
0.07,1.07,0.1,1,1,-1,0,-0.5,0,239,113
0.19,1.19,0.6,-1,0,-1,0,-0.1,1,234.5,112
0.18,-0.82,0.5,0,0,1,0,-0.1,-1,237,111
-0.28,-1.28,-1,1,1,1,-1,-0.6,0,235.5,110
-0.41,-1.41,-1.8,0,0,1,-1,-0.45,1,230.5,109
-0.22,0.78,-1.1,-1,-1,-1,0,0.5,0,230,108
-0.27,0.73,-0.8,0,0,-1,0,0.4,-1,234,107
-0.45,-1.45,-0.7,0,0,1,-1,0.6,0,234,106
-0.29,-1.29,-0.2,-1,-1,1,-1,0.85,0,233,105
-0.09,0.91,0.9,-1,-1,-1,-1,1,-1,235.5,104
0.02,0.02,2.1,0,0,0,-1,0.95,-1,239,103
0.07,0.07,1.6,0,0,0,1,1,0,239.5,102
0.04,1.04,1.9,0,0,-1,0,1.55,0,238,101
0.19,0.19,1.9,0,0,0,0,1.4,0,236.5,100
0.16,-0.84,1.1,1,0,1,1,0.55,0,236.5,99
-0.09,-0.09,-0.2,1,1,0,1,0.3,0,234.5,98
-0.01,0.99,0.4,0,0,-1,0,0.75,1,229,97
-0.19,0.81,1.2,1,0,-1,-1,0.65,0,230,96
-0.17,-1.17,0.9,0,0,1,-1,0.4,1,227,95
0.04,0.04,0,0,0,0,-1,0.8,0,227,94
0.17,0.17,0.8,0,0,0,1,1.15,0,229,93
0.18,1.18,1.1,1,0,-1,1,0.75,0,230,92
-0.36,-1.36,0.1,1,1,1,-1,0.35,0,228,91
-0.28,-1.28,-0.1,0,0,1,-1,0.15,1,221,90
0.28,1.28,1.6,-1,-1,-1,1,1.05,0,222.5,89
0.22,-0.78,1.5,1,1,1,1,0.55,-1,229,88
0.01,0.01,0.4,1,1,0,0,0.65,1,226,87
-0.05,0.95,0.6,0,0,-1,-1,0.5,1,222.5,86
0.11,1.11,0.4,-1,0,-1,1,1.2,0,220.5,85
0.13,-0.87,0.5,1,0,1,-1,0.8,-1,223,84
-0.02,-1.02,-0.4,1,0,1,-1,1.05,0,221,83
0.13,1.13,0.9,0,0,-1,0,0.5,1,218.5,82
0.04,-0.96,0.4,1,0,1,-1,-0.2,0,220.5,81
0.23,1.23,2,-1,-1,-1,-1,-0.45,1,217.5,80
0.23,0.23,1.1,1,0,0,-1,-0.45,-1,221,79
0.48,1.48,2.5,0,0,-1,1,0.4,1,218.5,78
0.28,1.28,0.1,1,1,-1,-1,-0.15,0,220.5,77
0.23,-0.77,-0.8,0,0,1,-1,-0.45,1,216,76
-0.1,-0.1,-2.9,1,1,0,-1,-1.05,0,215.5,75
-0.09,-1.09,-2,-1,0,1,-1,-1.05,1,211,74
-0.66,-1.66,-1.7,1,1,1,-1,-1.3,0,213,73
-0.35,-1.35,-0.4,-1,-1,1,0,-1,1,208,72
0,1,-0.1,-1,-1,-1,0,-0.3,-1,215.5,71
0.35,1.35,0.8,-1,-1,-1,0,0.2,-1,219.5,70
0.31,0.31,-0.1,1,1,0,0,0.05,-1,225.5,69
-0.12,0.88,-0.9,1,1,-1,-1,-0.95,1,223,68
-0.25,0.75,-1.6,0,0,-1,-1,-0.9,1,216.5,67
-0.1,-0.1,-0.5,-1,0,0,0,-0.25,0,217.5,66
-0.08,0.92,-0.4,0,0,-1,0,0.25,-1,220,65
0,1,0.2,0,0,-1,-1,0.25,0,221.5,64
-0.13,-1.13,-1,1,0,1,1,0.1,0,223.5,63
0.12,1.12,-0.2,-1,-1,-1,1,-0.05,1,221,62
-0.06,-1.06,0,1,0,1,-1,-1.15,-1,225.5,61
-0.03,-0.03,0.9,0,0,0,0,-1.15,1,222.5,60
-0.13,0.87,0.3,0,0,-1,0,-0.3,0,223.5,59
0.19,-0.81,1.2,-1,-1,1,1,-0.3,0,222.5,58
0.24,-0.76,0.1,0,0,1,0,0,-1,226,57
-0.04,0.96,-2.3,1,1,-1,0,-0.15,0,226.5,56
-0.37,-0.37,-3.2,1,1,0,-1,-0.4,1,222.5,55
-0.36,-1.36,-0.9,-1,0,1,0,0.25,1,219,54
-0.64,0.36,-1.8,0,0,-1,0,0.1,0,221,53
-0.38,-0.38,-0.1,-1,-1,0,-1,0.7,0,220,52
0.25,1.25,2,-1,-1,-1,1,1.6,-1,226,51
0.54,-0.46,2.4,0,0,1,1,1.3,-1,234,50
0.15,-0.85,1.4,1,1,1,0,-0.05,0,235,49
0.54,0.54,2,-1,-1,0,1,-0.2,1,225.5,48
0.41,-0.59,1.5,1,0,1,-1,-0.2,-1,229,47
0.3,1.3,1.2,1,0,-1,0,-0.35,1,226.5,46
0.31,1.31,0.2,0,0,-1,0,-0.85,1,224,45
0.01,1.01,-1.5,1,1,-1,0,-1.25,0,223,44
0.01,1.01,-2.4,0,0,-1,0,-1.75,1,218.5,43
-0.27,-1.27,-1.9,0,0,1,-1,-1.5,0,219,42
-0.47,-1.47,-1.9,0,0,1,-1,-1.65,0,219,41
-0.41,-1.41,-1.9,-1,-1,1,-1,-1.3,0,218,40
-0.27,-1.27,-1,-1,-1,1,-1,-1.05,-1,222,39
0,1,-1.1,-1,-1,-1,0,-0.45,-1,226,38
-0.15,0.85,-1.1,1,0,-1,0,-0.55,-1,231,37
-0.47,-1.47,-1.4,0,0,1,0,0.45,1,228.5,36
-0.18,0.82,-0.7,-1,-1,-1,0,0.9,0,227.5,35
-0.24,0.76,-1.1,0,0,-1,0,1,-1,231.5,34
0.17,1.17,0.2,-1,-1,-1,0,1.7,0,231,33
0.08,1.08,0,1,0,-1,1,0.45,-1,236.5,32
0.16,0.16,2.3,0,0,0,0,0.45,1,234,31
0.3,1.3,2.5,0,0,-1,0,-0.2,0,234.5,30
0.61,0.61,3.1,0,0,0,1,0.05,0,235,29
0.85,1.85,3.2,0,0,-1,0,-0.1,0,236.5,28
0.93,0.93,0.9,0,0,0,1,-0.45,0,235.5,27
0.3,0.3,-1.4,1,1,0,1,-1.4,0,234,26
0.21,-0.79,-2.9,0,0,1,0,-0.8,1,223,25
-0.09,-0.09,-3,0,0,0,0,-1.6,0,222.5,24
-0.45,0.55,-3.4,0,0,-1,0,-0.8,0,221,23
0.04,1.04,-1.8,-1,-1,-1,-1,-1.45,0,219.5,22
0.05,0.05,-1.4,0,0,0,1,-1.35,-1,229.5,21
0.38,1.38,1.3,-1,-1,-1,1,-1.3,0,230,20
0.28,0.28,-0.2,0,0,0,1,-1.8,-1,237,19
0.45,1.45,1.8,0,0,-1,-1,-2.35,0,236,18
0.72,1.72,-1.1,0,0,-1,1,-1.9,0,236.5,17
0.39,1.39,-1.3,0,0,-1,-1,-2.6,0,238.5,16
-0.09,-1.09,-3.9,1,1,1,1,-3.2,0,237,15
-0.07,-1.07,-3.4,-1,-1,1,-1,-2.8,1,230.5,14
-1.03,-0.03,-6.5,1,1,-1,-1,-3.6,-1,237,13
-0.33,-1.33,-2.7,-1,-1,1,-1,-1.95,1,227.5,12
-0.69,-1.69,-3.9,0,0,1,-1,-1.8,-1,244,11
-0.49,-1.49,-2.5,-1,-1,1,-1,-1,0,243.5,10
-0.38,0.62,-2.2,-1,-1,-1,0,-0.4,-1,250,9
-0.17,0.83,-0.7,-1,-1,-1,-1,0.55,-1,254,8
-0.31,-1.31,-1.2,1,0,1,-1,-0.05,-1,260,7
-0.05,-0.05,0.3,-1,-1,0,-1,0.2,0,257.5,6
-0.04,0.96,0.5,0,0,-1,0,0.75,-1,263,5
0.16,-0.84,1.4,-1,0,1,1,0.45,0,262.5,4
0.11,1.11,1.8,0,0,-1,0,0.35,0,265,3
0.21,-0.79,1.1,0,0,1,0,-0.1,0,263.5,2
0.11,-0.89,0.1,0,0,1,0,-0.25,0,263.5,1
